text,labels
Z mà đéo khốg chế đễ z trời,"[0,0,0,1,1,0,0,0,0,0,0,0,0,0]"
Z là ly_thân dữ chưa Lâm_ĐN,"[1,1,1,1,1,0]"
z đó chứ bảo mất_nết lại tự_ái,"[0,0,0,0,0,0,0]"
Z đó chứ bảo mất_nết lại tự_ái,"[0,0,0,0,0,0,0]"
Yuna Le vô_can dùm a đi,"[0,0,0,0,0,0,0,0]"
Yêu việt Nam . lắm luôn,"[0,0,0,0,0,0,0,0]"
Yêu Việt_Nam_vô_cùng 🇻 🇳 🇻 🇳,"[0,0,0,0,0,0,0]"
Yêu v tr,"[0,0,0,0,0]"
Yêu tổ_quốc thì ít phong_trào thì nhiều .,"[0,0,0,0,0,0,0,0]"
yêu tổ_quốc thì ít phong_trào thì nhiều,"[0,0,0,0,0,0,0]"
Yêu tổ quá nhưng quên yêu đồng_bào r ha_ha,"[0,0,0,0,0,0,0,0,0]"
Yêu_quý rất tốt nhưng cuồng lực nta đang làm vjk thì là,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu_quái chứ yêu nước gi dòng thứ co tư_duy dựt ck ng ta à trời,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu_quái chứ yêu nước cái gì,"[0,0,0,0,0,0,0]"
Yêu quá Việt_Nam ơi ❤ ️,"[0,0,0,0,0,0,0]"
Yêu quá,"[0,0,0,0]"
Yêu nước Việt_❤ ️ ❤ ️ ❤ ️ 🇻 🇳 🇻 🇳 🇻 🇳 . Mong mọi người bình an ạ !,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước văn_minh đừng làm ảnh_hưởng đến cs và gđ người khác được không 🫡,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước thôi xin đừng làm khùng làm điên,"[0,0,0,0,1,1,1,1,1,1,0]"
"Yêu nước thì ít , yêu_quái thì nhiều","[0,0,0,0,0,0,0,0,0]"
yêu nước quá vỗ_tay nào,"[0,0,0,0,0,0]"
Yêu nước quá ❤ ❤ ❤ vỗ_tay nào,"[0,0,0,0,0,0,0,0,0]"
yêu nước phong_trào chứ có biết ý_nghĩa gì đâu,"[0,0,0,0,0,0,0,0,0]"
yêu nước nhưng ko yêu_thương nhau yêu phong_trào,"[0,0,0,0,0,0,0,0]"
Yêu nước nhưng ko yêu_thương nhau ... yêu phong_trào,"[0,0,0,0,0,0,0,0,0]"
Yêu nước nhưng hơi dốt tí,"[0,0,0,0,1,1,1,0]"
Yêu nước nhất_thời đây mà . . !,"[0,0,0,0,0,0,0,0,0]"
Yêu nước mõm,"[0,0,0,0,0]"
"Yêu nước mà , phải vậy chứ giờ giới trẻ nghĩ vậy ko đấy","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước mà ý_thức trên trời,"[0,0,0,0,0,0,0]"
Yêu nước mà như v theo mình nghĩ là tỏ_vẻ chứ có ai khùng như con_mẹ đó,"[0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0]"
Yêu nước mà_lại ko yêu nhau à,"[0,0,0,0,0,0,0,0]"
yêu nước mà_lại ko yêu nhau à,"[0,0,0,0,0,0,0,0]"
Yêu nước mà cũng tranh_giành,"[0,0,0,0,0,0]"
yêu nước mà cũng tranh_giành,"[0,0,0,0,0,0]"
"Yêu nước là tốt , nhưng yêu quá_hóa làm càn thì ko ổn nha mấy má .","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yêu nước là tốt , mà sao kh có ý_thức vậy tr","[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước là tốt nhưng tỉnh_táo,"[0,0,0,0,0,0,0]"
Yêu nước là tốt nhma đừng làm gì vượt quá giới_hạn,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước là phải vừa đội vừa . đoàn . vừa đảng . nó mới chất như nước_cất,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước là OK,"[0,0,0,0,0,0]"
Yêu nước hay cố_tình gây_rối v mẹ 😃,"[0,0,0,0,0,0,0,0]"
Yêu nước ghe,"[0,0,0,0,0]"
Yêu nước được rồi chứ đừng làm yêu_tinh nhền nhện 😌,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước đến bể đầu bể cổ 🤣 🤣 🤣,"[0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước đến bể đầu bể cổ,"[0,0,0,0,0,0,0,0,0]"
Yêu nước đây sao . Hay toàn thành_phần hùa theo là chính,"[0,0,0,0,0,0,0,0,1,0,0,0,0]"
yêu nước đấm thấy mẹ yêu nước,"[0,0,0,1,1,1,0,0,0]"
Yêu nước dữ luôn á,"[0,0,0,0,0,0,0]"
Yêu nước dữ chưa 😂,"[0,0,0,0,0,0,0]"
Yêu nước dữ chưa,"[0,0,0,0,0,0]"
yêu nước dữ chưa,"[0,0,0,0,0,0]"
Yêu nước du chưa ha_ha 🤣,"[0,0,0,0,0,0,0]"
yêu nước du chưa ha_ha,"[0,0,0,0,0,0]"
yêu nước dẫn đến vô_duyên . chồng_con anh_chị_em tự_hào về bà này,"[0,0,0,0,0,0,0,0,0,0]"
"Yêu nước cũng bị phốt 🤡 Đây là một lỗi sai rất nhỏ , tại_sao lại làm quá lên 🥹","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước có nhiều cách,"[0,0,0,0,0,0,0]"
Yêu nước chứ ko yêu đồng_bào,"[0,0,0,0,0,0,0]"
yêu nước chứ ko yêu đồng_bào,"[0,0,0,0,0,0,0]"
Yêu nước chứ ko yêu dân,"[0,0,0,0,0,0,0,0]"
yêu nước chứ đừng làm yêu_quái,"[0,0,0,0,0,0,0]"
Yêu nhền nhện,"[0,0,0,0,0,0]"
"Yêu nghiệt , cái nết “ bây bi truy ”","[1,1,1,1,1,1,1,1,1,1,1,0]"
Yêu_mến như ko có_nghĩa_là muốn làm hành_động gì cũng được trong lúc các đồng_chí đồng_đội đang diễu_hành nghiêm_trang lại nhào vô người rồi lại lấn ra đường nhìn quá phản_cảm,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yêu lính lại khổ mấy má ơi , gặp trai có tí nhan_sắc , thì mấy má nặp nợn , 😂","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu lắm . ❤ ️ ❤ ️,"[0,0,0,0,0,0,0,0,0]"
Yêu lắm Việt_Nam ơi,"[0,0,0,0,0]"
Yêu lắm luôn,"[0,0,0,0,0]"
Yêu đồng_bào,"[0,0,0]"
Yêu đảng chứ có yêu nước đâu,"[0,0,0,0,0,0,0,0,0]"
Yêu_diễm,"[0,0]"
yêu_cầu qháp luật công_minh,"[0,0,0,0,0,0]"
Yêu_cầu phạt nguội,"[0,0,0,0]"
Yêu_cầu luật_pháp trả công_lý cho GĐ nạn_nhân,"[0,0,0,0,0]"
Yêu_cầu ko che mặt,"[0,0,0,0,0]"
"Yêu_cầu khóa luôn tài_khoản tạm_thời hoặc vĩnh_viễn , để làm_gương , ko thì tình_trạng tạo nội_dung khó kiểm_soát hết , còn xảy ra .","[0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0]"
Yêu_cầu cơ_quan pháp_luật VN làm sáng_tỏ ko có cơ_hội bao_che nữa nhé,"[0,0,0,0,0,0,0,0]"
"Yêu câu co quan tham quyền cấp cao nhất phải vào việc , mới lấy được công_bằng cho nhân_dân ... .","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu_cầu chị vợ đấm vô lồn con này mấy nhát để nó tỉnh cơn nứng ^ ^,"[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]"
Yêu cái đẹp là dc r mấy yêu nhền nhện ơi . Có bồ hay ko thi cũng k tới lượt tụi bay đâu 😂 bớt ảo_tưởng dùm cái đi . riết làm gi khó_coi ghê để mấy miền ngoài ng ta chửi lây qua tụi t vì mấy cái thành_phần mặt_dày nhu này nè .,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yến_Vy,"[0,0]"
Yên_tâm . Chú_mày trưởng ca huyện và cháu mày cứ cố_gắng ăn no ngủ kỹ đc ngày nào hay ngày đó . Mà có khi giờ này đang mất ăn mất_ngủ rồi ý chứ . Ăn_viên đạn vào đầu thì sau_này trái gió trở_trời thì mới thấm . Đau ko bằng chếtt con ạ .,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yên_tâm , mấy thằng sống ác thường sống dai lắm nhưng mà chết thảm","[0,0,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Yên_tâm xong lễ có giấy mời hết,"[0,0,0,0,0,0,0,0]"
"Yên_tâm nha bà_con nó có sống thì củng ko bằng chết , nổi ám_ảnh nầy sẻ đeo_bám nó suốt cuộc_đời","[0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0]"
"Yên_tâm đi , nó sống cũng ko khác gì chít đâu . ko ăn ngon ngủ yên đc đâu , sẽ bị ám_ảnh suốt đời . Bị ánh mắt xã_hội lên_án , sống như vậy thà chít còn tốt hơn .","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
yên_tâm đi vụ này mà chính_quyền không xử thì chắc_chắn bè_phái tụi nó cũng không được yên với ae xã_hội thằng tài_xế xe_tải không dám bước ra đường ám_ảnh tới chết,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yên_tâm đi thằng TX này sống ko bằng chết đâu . Nó sẽ khùng điên suốt đời .,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yên_tâm ah P_còn ae trong băng mà bt đâu đc ...,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Yến_Nhi nhìn thì vui thiệt . Nhưng nhìn đông quá mệt . Lỡ mắc ẻ hay đái k biết sao ra,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yến_Nhi Nguyễn c đi chac xỉu len xỉu xuống qá,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yến Nguyễn 1h sáng,"[0,0,0,0,0,0]"
"Yến_Huỳnh chạy lấn qua hết mẹ cái đường của ngta gây tai_nạn vậy_mà ko bị truy_tố được , hay thiệt","[0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yeu nuoc ghe,"[0,0,0,0,0,0,0]"
yeu nuoc ghe,"[0,0,0,0,0,0,0]"
"Yeu cầu ca vào cuọc , hai mang nguòi ròi đó , nghe nói tài_xế đụng chết nguòi có góc lón đó , néu ca kg làm ra chuỵen Mà bao_che gđ nen kiẹn len cắp cao để xem pháp_luật có nghiêm_minh kg , chuyện nầy chấn_động cả nuóc ròi đó !","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yen Nhi cái này mê c * chứ yêu nước kiểu đ gì kì_cục vậy trời,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Yen Nguyễn_Yến,"[0,0,0]"
Yen_Ngan,"[0,0]"
Yen_Linh thấy mình đâu ko ? 🤣,"[0,0,0,0,0,0,0,0]"
"Yem phải sống chư , sống_còn đến thắp cho bé Tr 1 nén nhang , tư khi Tn đên nay yem đã kịp thaeps cho bé đâu","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý trời . Chắc là cho sống để trả nghiệp .,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý trời rồi . Viên thứ 2 tự_dưng kẹt đạn . Trong khi viên sau lại nổ,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ý trời rồi , chết thì đơn_giản quá gia_đình nạn_nhân còn 2 đứa nhỏ thì phải","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý trời pha sau mà k kẹt đạn thì nên đường rồi thôi bình_phục để còn xám hối,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ý trời nhưng tội anh p,"[0,0,0,0,0,0,0,0]"
Ý trời k cho nó chết . để kêu thêm mấy thằng vào lò . còn đời nó thì sống thực_vật,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ý trời chăng ?,"[0,0,0,0,0,0]"
"ý_thức , sự tôn_trọng khg biết để . đâu","[0,0,0,0,0,0,0,0,0,0]"
"Ý_thức , não cá_tra ! vui cũng biết giới_hạn , cảng đường , cảng lói ! mắc nết !","[0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý_thức y nhu trẻ lên 3,"[0,0,0,0,0,0,0]"
ý_thức vẫn là cái gi ấy đi xem kiểu phong_trào đay kkkk,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý_thức vẫn là cái gi ấy 🤣 🤣 🤣 Đi xem kiểu phong_trào đay kkkk,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý_thức trôi theo cứt rồi,"[0,0,0,0,0,0,0]"
Ý_thức tồi,"[0,1,0]"
Ý_thức thua con ruồi,"[0,1,1,1,0]"
Ý_thức thua con dog,"[0,0,1,0,0]"
Ý_thức thua cả 🐕,"[0,1,1,1,0]"
Ý_thức thật_sự kém_cỏi,"[0,0]"
Ý_thức thấp thực_sự,"[0,1,0]"
ý_thức thấp,"[0,1,0]"
Ý_thức ruồi muỗi,"[0,0,0,0]"
Ý_thức quá tồi,"[0,1,1,0]"
Ý_thức quá kém .,"[0,1,1,1,0]"
ý_thức quá kém đề_nghị phạt nặng,"[0,0,0,0,0,0]"
Ý_thức quá kém,"[0,1,1,0]"
Ý_thức qua kém,"[0,1,1,0]"
Ý_thức quá chán,"[0,0,0,0]"
Ý_thức ở đâu_vậy,"[0,1,0]"
Ý_thức nó tồi vô_cùng,"[0,0,0,0]"
ý_thức nó như nào thì nó biểu_hiện trực_tiếp luôn,"[0,0,0,0,0,0,0,0]"
Ý_thức như sít .,"[0,1,1,1,0,0]"
Ý_thức như ruồi,"[0,0,0,0]"
ý_thức như quằn què,"[0,1,1,1,1,0]"
Ý_thức như lol 😡,"[0,1,1,1,0,0]"
Ý_thức như đb 😏 😏,"[0,1,1,1,0,0,0]"
Ý_thức như đầu tôm,"[0,1,1,1,0]"
Ý_thức như cuối đầu_bài,"[0,1,1,0]"
Ý_thức như củ chuối,"[0,1,1,1,0]"
Ý_thức như con Ruồi chịu,"[0,1,1,1,1,0]"
Ý_thức như con ruồi,"[0,0,0,0,0]"
"Ý_thức như con dở , tưởng thế_là hay","[0,1,1,1,0,1,1,0]"
Ý_thức như cái bẹn dị bà nội,"[0,0,0,0,0,0,0,0]"
Ý_thức như bẹn,"[0,0,0,0]"
Ý_thức ko ra gi,"[0,0,0,0,0]"
Ý_thức ko có gi hêt,"[0,0,0,0,0,0,0]"
Ý_thức ko bằng con tao,"[0,0,0,0,0,0]"
Ý_thức ko bằng con ruồi,"[0,1,1,1,1,0]"
ý_thức không bằng một đứa trẻ_con,"[0,1,1,1,1,0]"
Ý_thức không bằng con ruồi,"[0,1,1,1,1,0]"
Ý_thức không bằng con rùi .,"[0,0,0,0,0,0,0,0]"
Ý_thức không bằng cả Huấn râu gì . Chán,"[0,1,1,1,1,1,1,0,0,0]"
Ý_thức kém . não trộn với c . ứt,"[0,1,1,1,1,1,1,1,1,0]"
Ý_thức kém !,"[0,0,0,0]"
Ý_thức kém vê lờ,"[0,1,1,1,0]"
Ý_thức kém vc : ) ) ) Lễ trọng_đại của người_ta mà làm vậy . Bạn_bè quốc_tế nó thấy nó cười vào mặt đcm,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ý_thức kém_vậy,"[0,0]"
Ý_thức kém v,"[0,0,0,0]"
Ý_thức kém thế k biết,"[0,0,0,0,0,0]"
Ý_thức kém thật làm lố_bịch thật,"[0,0,0,0,0,0]"
Ý_thức kém thật,"[0,1,1,0]"
Ý_thức kém quá mấy má ơi .,"[0,1,1,1,1,1,0,0]"
Ý_thức kém quá,"[0,1,1,0]"
Ý_thức kém làm xấu hình_ảnh phụ_nữ VN,"[0,1,1,1,1,0]"
Ý_thức kém lại nghĩ m hay_ho,"[0,1,0,0,0,0]"
Ý_thức kém cứ 7 củ 5 vừa đóng_góp ngân_sách vừa cải_tạo đc ý_thức,"[0,1,0,0,0,0,0,0,0,0]"
Ý_thức kém cũng vừa vừa phải phải thôi,"[0,0,0,0,0,0,0,0,0]"
Ý_thức kém chứ hay_ho gì,"[0,1,1,1,0]"
Ý_thức kém ạ,"[0,1,0,0]"
Ý_thức kém … .,"[0,0,0,0,0]"
Ý_thức kém ! Nói thiếu văn_hoá lại tự_ái,"[0,1,1,1,1,1,0]"
"Ý_thức kém , bốc_đồng","[0,0,0,0]"
"Ý_thức kém , nhận_thức tồi 🤣 🤣 🤣","[0,1,0,1,0,0,0,0]"
Ý_thức kém,"[0,1,0]"
Ý_thức k bằng con ruồi . Làm xấu hình_ảnh trong mắt bạn_bè quốc_tế,"[0,0,0,0,0,0,0,0,0,0,0]"
Ý_thức j đây,"[0,0,0,0]"
Ý_thức gì kì_vậy trời 🔥,"[0,1,1,1,0]"
ý_thức để quên ở nhà 🤨,"[0,0,0,0,0,0,0]"
Ý_thức để ở đầu_gối,"[0,0,0,0]"
"Ý_thức để đâu v tr , , xấu_hổ dùm","[0,1,1,1,1,1,1,1,0]"
Ý_thức để đâu rồi không biết !,"[0,0,0,0,0,0,0,0]"
Ý_thức để dưới háng hết rồi,"[0,1,1,1,0,0,0]"
ý_thức để dưới háng hết rồi,"[0,1,1,1,0,0,0]"
Ý_thức để dưới đít à,"[0,1,1,1,0,0]"
Ý_thức đầy người luôn . Đúng là dành cả đời để lên phốt 1 lần .,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý_thức đâu ? Văn_minh đâu ?,"[0,0,0,0,0,0]"
Ý_thức dính ở mép … từ lúc mới đẻ ra : ) ),"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý_thức của nó thấp hơn điểm_hóa của em ... . . 😌 😌 😌,"[0,1,1,1,1,1,1,0,0,0,0,0,0,0]"
ý_thức của chị Nhung còn thua điểm lí của em,"[0,1,1,1,1,1,1,1,0,0,0]"
Ý_thức của chị Nhung còn ít hơn cả nhân bánh_mì của t : ) ),"[0,1,1,1,1,1,1,1,1,1,1,0,0,0,0]"
Ý_thức của chị còn thấp hơn cả điểm hoá của em 🙂,"[0,1,1,1,1,1,1,1,1,1,1,0,0]"
Ý_thức của bộ_não nằm ở dưới mắt_cá chân,"[0,1,1,1,1,1,0]"
Ý_thức con Ruồi,"[0,1,1,0]"
Ý_thức còn kém hơn điểm toán của tao,"[0,1,1,1,1,1,0,1,0]"
Ý_thức còn ít hơn kiến_thức hoá của tao,"[0,1,1,1,1,0,1,0]"
Ý_thức còn ít hơn cả số tiền trong túi t,"[0,1,1,1,1,1,1,1,1,1,0]"
Ý_thức con 🐷,"[0,1,1,0]"
Ý_thức chán vkl đúng là mấy con nứng chắc đến ngày động_dục quá !,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ý_thức chán quá , Yêu thích cũng phải kiềm_chế chứ .","[0,1,1,1,1,1,1,1,1,0,0]"
Ý_thức bỏ quên ở nhà rồi .,"[0,0,0,0,0,0,0,0]"
Ý_thức bỏ quên,"[0,0,0,0]"
"Ý_thức bị rớt lại trong bụng mẹ rồi , chắc nghĩ vậy là hay là giỏi","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý_thức 🤔 🤔 🤔,"[0,1,1,1,0]"
Ý_thức,"[0,0]"
ý thúc k bằng đứa trẻ_con,"[0,0,0,0,0,0,0]"
"Ỷ quyền_thế_mà làm mất_mạng hai cha con , , , cái đó chưa đáng đâu còn hai thằng đầu trên nữa","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ỷ nó giàu lấy tiền mua mạng người của ngta , nhưng trời có mắt nó phải trả_giá rất đắt do việc_làm của nó gây lên , nhà ngta 2 mạng nó bị vậy thì còn chưa đủ 🤙 🤙 🤙","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ỷ nó giàu lấy tiền mua mạng người của ngta nhưng trời có mắt nó phải trả_giá rất đắt do việc_làm của nó gây lên nhà ngta numbr mạng nó bị vậy thì còn chưa đủ,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Y_như trong phim kẻ ác lúc_nào cũng sống lâu . haiz,"[0,0,0,0,0,0,0,0,0,0,0,0]"
"Y_như mấy bà điên , tới xem diễu_binh thì ngồi trật_tự mà xem ,","[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Y_như con khùng,"[0,1,1,0]"
Y_như 1 con điên,"[0,1,1,1,0]"
Ý nhìn giống chị e á Dĩm ơi 🤣 🤣 🤣 🤣,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ỷ mình là con ông cháu cha rồi xem mạng người như cỏ rác_vậy ? Bao_che cho nhau hết,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Y mình có tiền muốn một tay che trời bắt hết mấy ông cA mà ăn_tiền hối_lộ rồi mới dc bình_yên,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ỷ_lại có tiền_bạc , cậy này_nọ ... dồn_ép người_ta tới đường cùng . Tai_nạn thì ai muốn sai đúng gì chưa bàn tới quan_trọng sống phải có chữ tình , quan_tâm xoa_dịu nỗi đau gia_đình người đã mất một_cách chân_tình có phải tốt hơn không .","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là trời ko cho nó chet dễ_dàng như thế đc . Phải cho nó vào tò thôi,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là trên ảnh mặc áo đoàn vẫn đeo khăn_quàng đc,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là thời_tiết nóng quá nên bị n úng l òn đúng hem,"[1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Ý là thiếu trai lắm hay gì : ) ) Nốn lừng lắm hả 😃,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
"Ý là qua t coi clip thấy cũng hài hài , nma t ko đọc cmt","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là qrtd á = ),"[0,0,0,0,0,0,0,0,0,0]"
ý là người_ta có bồ có ny rồi dm máu tiểu tam vào máu chúng m à hay dựa hơi diễu_binh mà nhoi hết lên,"[0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là ngta là ny còn mình không là gì : ),"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ý là nghĩ bản_thân có cửa hay gì ? Cái giá của con_gái đâu ? Nhìn lạu bản_thân xem bằng ny của anh kia chưa , ny anh ấy cỡ đó còn chưa được dẫn về nhà ra_mắt thì mấy cô cỡ nào đòi chen vào vậy 🥴 thêm cả nếu anh ấy bỏ ny hiện_tại hay cắm_sừng ny hiện_tại thì mấy cô lấy gì để k thành kẻ bị đá trong tương_lai , vì mấy cô hãm l như thế mừ xem báo Trung lẫn CĐM bên Trúng nói con gaia Việt_Nam thèm_khát trai Trung , Lính Trung như thế_nào","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ý là mình cũng đi xem hôm sơ duyệt thấy mấy bạn nữ hú hét ban_đầu thấy cũng mắc cười mà về sau thấy hơi vô_duyên á . Lại còn đăng_đàn lên mạng tấn_công ng ta và gia_đình người_ta nữa vô_duyên x10 . 🙂 bơn bớt đi , gái gú gì k có liêm_sỉ","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là mình bị phiền á trờiiii,"[0,0,0,0,0,0,0,0,0,0,0,0]"
