text,labels
Yêu nước đây sao. Hay toàn thành phần hùa theo là chính,"[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]"
yêu nước đấm thấy mẹ yêu nước,"[0,0,0,1,1,1,0,0,0]"
Yêu nước dữ luôn á,"[0,0,0,0,0,0,0]"
Yêu nước dữ chưa😂,"[0,0,0,0,0,0,0,0]"
Yêu nước dữ chưa,"[0,0,0,0,0,0]"
yêu nước dữ chưa,"[0,0,0,0,0,0]"
Yêu nước du chưa ha ha 🤣,"[0,0,0,0,0,0,0,0,0]"
yêu nước du chưa ha ha,"[0,0,0,0,0,0,0,0]"
yêu nước dẫn đến vô duyên. chồng con anh chị em tự hào về bà này,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yêu nước cũng bị phốt 🤡 Đây là một lỗi sai rất nhỏ, tại sao lại làm quá lên 🥹","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước có nhiều cách,"[0,0,0,0,0,0,0]"
Yêu nước chứ ko yêu đồng bào,"[0,0,0,0,0,0,0,0,0]"
yêu nước chứ ko yêu đồng bào,"[0,0,0,0,0,0,0,0,0]"
Yêu nước chứ ko yêu dân,"[0,0,0,0,0,0,0,0]"
yêu nước chứ đừng làm yêu quái,"[0,0,0,0,0,0,0,0,0]"
Yêu nhền nhện,"[0,0,0,0,0,0]"
"Yêu nghiệt, cái nết “ bây bi truy”","[1,1,1,1,1,1,1,1,1,1,1,1,0]"
Yêu mến như ko có nghĩa là muốn làm hành động gì cũng được trong lúc các đồng chí đồng đội đang diễu hành nghiêm trang lại nhào vô người rồi lại lấn ra đường nhìn quá phản cảm,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yêu lính lại khổ mấy má ơi,  gặp trai có  tí nhan sắc,  thì mấy má nặp nợn,  😂","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu lắm.❤️❤️,"[0,0,0,0,0,0,0,0,0,0]"
Yêu lắm Việt Nam ơi,"[0,0,0,0,0,0,0]"
Yêu lắm luôn,"[0,0,0,0,0]"
Yêu đồng bào,"[0,0,0,0,0]"
Yêu đảng chứ có yêu nước đâu,"[0,0,0,0,0,0,0,0,0]"
Yêu diễm,"[0,0,0,0]"
yêu cầu qháp luật công minh,"[0,0,0,0,0,0,0,0,0,0]"
Yêu cầu phạt nguội,"[0,0,0,0,0,0]"
Yêu cầu luật pháp trả công lý cho GĐ nạn nhân,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu cầu ko che mặt,"[0,0,0,0,0,0,0]"
"Yêu cầu khóa luôn tài khoản tạm thời hoặc vĩnh viễn, để làm gương, ko thì tình trạng tạo nội dung khó kiểm soát hết, còn xảy ra.","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0]"
Yêu cầu cơ quan pháp luật VN làm sáng tỏ ko có cơ hội bao che nữa nhé,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yêu câu co quan tham quyền cấp cao nhất phải vào việc, mới lấy được công bằng cho nhân dân....","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu cầu chị vợ đấm vô lồn con này mấy nhát để nó tỉnh cơn nứng ^^,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]"
Yêu cái đẹp là dc r mấy yêu nhền nhện ơi .Có bồ hay ko thi cũng k tới lượt tụi bay đâu😂bớt ảo tưởng dùm cái đi .riết làm gi khó coi ghê để mấy miền ngoài ng ta chửi lây qua tụi t vì mấy cái thành phần mặt dày nhu này nè .,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yến Vy,"[0,0,0,0]"
Yên tâm. Chú mày trưởng ca huyện và  cháu mày cứ cố gắng ăn no ngủ kỹ đc ngày nào hay ngày đó. Mà có khi giờ này đang mất ăn mất ngủ rồi ý chứ. Ăn viên đạn vào đầu thì sau này trái gió trở trời thì mới thấm. Đau ko bằng chếtt con ạ.,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yên tâm, mấy thằng sống ác thường sống dai lắm nhưng mà chết thảm","[0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Yên tâm xong lễ có giấy mời hết,"[0,0,0,0,0,0,0,0,0,0]"
"Yên tâm nha bà con nó có sống thì củng ko bằng chết,nổi ám ảnh nầy sẻ đeo bám nó suốt cuộc đời","[0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]"
"Yên tâm đi, nó sống cũng ko khác gì chít đâu. ko ăn ngon ngủ yên đc đâu, sẽ bị ám ảnh suốt đời. Bị ánh mắt xã hội lên án, sống như vậy thà chít còn tốt hơn.","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
yên tâm đi vụ này mà chính quyền không xử thì chắc chắn bè phái tụi nó cũng không được yên với ae xã hội thằng tài xế xe tải không dám bước ra đường ám ảnh tới chết,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yên tâm đi thằng TX này sống ko bằng chết đâu. Nó sẽ khùng điên suốt đời.,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yên tâm ah P còn ae trong băng mà bt đâu đc...,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yến Nhi nhìn thì vui thiệt. Nhưng nhìn đông quá mệt. Lỡ mắc ẻ hay đái k biết sao ra,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yến Nhi Nguyễn c đi chac xỉu len  xỉu xuống qá,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yến Nguyễn 1h sáng,"[0,0,0,0,0,0]"
"Yến Huỳnh chạy lấn qua hết mẹ cái đường của ngta gây tai nạn vậy mà ko bị truy tố được,hay thiệt","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yeu nuoc ghe,"[0,0,0,0,0,0,0]"
yeu nuoc ghe,"[0,0,0,0,0,0,0]"
"Yeu cầu ca vào cuọc , hai mang nguòi ròi đó , nghe nói tài xế đụng chết nguòi có góc lón đó , néu ca kg làm ra chuỵen Mà bao che gđ nen kiẹn len cắp cao để xem pháp luật có nghiêm minh kg , chuyện nầy chấn động cả nuóc ròi đó !","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yen Nhi cái này mê c* chứ yêu nước kiểu đ gì kì cục vậy trời,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Yen Nguyễn Yến,"[0,0,0,0,0]"
Yen Ngan,"[0,0,0,0]"
Yen Linh thấy mình đâu ko ?🤣,"[0,0,0,0,0,0,0,0,0,0]"
"Yem phải sống chư, sống còn đến thắp cho bé Tr 1 nén nhang, tư khi Tn đên nay yem đã kịp thaeps cho bé đâu","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý trời. Chắc là cho sống để trả nghiệp.,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý trời rồi. Viên thứ 2 tự dưng kẹt đạn. Trong khi viên sau lại nổ,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ý trời rồi, chết thì đơn giản quá gia đình nạn nhân còn 2 đứa nhỏ thì phải","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý trời pha sau mà k kẹt đạn thì nên đường rồi thôi bình phục để còn xám hối,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ý trời nhưng tội anh p,"[0,0,0,0,0,0,0,0]"
Ý trời k cho nó chết.để kêu thêm mấy thằng vào lò.còn đời nó thì sống thực vật,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ý trời chăng ?,"[0,0,0,0,0,0]"
"ý thức,sự tôn trọng khg biết để.đâu","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ý thức, não cá tra!vui cũng biết giới hạn,cảng đường,cảng lói! mắc nết!","[1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức y nhu trẻ lên 3,"[0,0,0,0,0,0,0,0,0]"
ý thức vẫn là cái gi ấy đi xem kiểu phong trào đay kkkk,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức vẫn là cái gi ấy 🤣🤣🤣 Đi xem kiểu phong trào đay kkkk,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức trôi theo cứt rồi,"[0,0,0,0,0,0,0,0,0]"
Ý thức tồi,"[1,1,1,1,0]"
Ý thức thua con ruồi,"[1,1,1,1,1,1,0]"
Ý thức thua con dog,"[0,0,0,0,1,0,0]"
Ý thức thua cả 🐕,"[1,1,1,1,1,1,0]"
Ý thức thật sự kém cỏi,"[0,0,0,0,0,0,0,0]"
Ý thức thấp thực sự,"[1,1,1,1,1,1,0]"
ý thức thấp,"[1,1,1,1,0]"
Ý thức ruồi muỗi,"[0,0,0,0,0,0]"
Ý thức quá tồi,"[1,1,1,1,1,0]"
Ý thức quá kém.,"[1,1,1,1,1,1,0]"
ý thức quá kém đề nghị phạt nặng,"[0,0,0,0,0,0,0,0,0,0]"
Ý thức quá kém,"[1,1,1,1,1,0]"
Ý thức qua kém,"[1,1,1,1,1,0]"
Ý thức quá chán,"[0,0,0,0,0,0]"
Ý thức ở đâu vậy,"[1,1,1,1,1,1,0]"
Ý thức nó tồi vô cùng,"[0,0,0,0,0,0,0,0]"
ý thức nó như nào thì nó biểu hiện trực tiếp luôn,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức như sít.,"[1,1,1,1,1,1,1,0]"
Ý thức như ruồi,"[0,0,0,0,0,0]"
ý thức như quằn què,"[1,1,1,1,1,1,1,0]"
Ý thức như lol😡,"[1,1,1,1,1,1,1,0]"
Ý thức như đb 😏😏,"[1,1,1,1,1,1,0,0,0]"
Ý thức như đầu tôm,"[1,1,1,1,1,1,0]"
Ý thức như cuối đầu bài,"[1,1,1,1,1,1,1,0]"
Ý thức như củ chuối,"[1,1,1,1,1,1,0]"
Ý thức như con Ruồi chịu,"[1,1,1,1,1,1,1,0]"
Ý thức như con ruồi,"[0,0,0,0,0,0,0]"
"Ý thức như con dở , tưởng thế là hay","[1,1,1,1,1,1,0,1,1,1,1,0]"
Ý thức như cái bẹn dị bà nội,"[0,0,0,0,0,0,0,0,0,0]"
Ý thức như bẹn,"[0,0,0,0,0,0]"
Ý thức ko ra gi,"[0,0,0,0,0,0,0]"
Ý thức ko có gi hêt,"[0,0,0,0,0,0,0,0,0]"
Ý thức ko bằng con tao,"[0,0,0,0,0,0,0,0]"
Ý thức ko bằng con ruồi,"[1,1,1,1,1,1,1,0]"
ý thức không bằng một đứa trẻ con,"[1,1,1,1,1,1,1,1,1,0]"
Ý thức không bằng con ruồi,"[1,1,1,1,1,1,1,0]"
Ý thức không bằng con rùi.,"[0,0,0,0,0,0,0,0,0,0]"
Ý thức không bằng cả Huấn râu gì. Chán,"[1,1,1,1,1,1,1,1,1,1,1,0,0]"
Ý thức kém.não trộn với c.ứt,"[1,1,1,1,1,1,1,1,1,1,0]"
Ý thức kém!,"[0,0,0,0,0,0,0]"
Ý thức kém vê lờ,"[1,1,1,1,1,1,0]"
Ý thức kém vc :))) Lễ trọng đại của người ta mà làm vậy. Bạn bè quốc tế nó thấy nó cười vào mặt đcm,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ý thức kém vậy,"[1,1,1,1,1,0]"
Ý thức kém v,"[0,0,0,0,0,0]"
Ý thức kém thế k biết,"[0,0,0,0,0,0,0,0]"
Ý thức kém thật làm lố bịch thật,"[0,0,0,0,0,0,0,0,0,0]"
Ý thức kém thật,"[1,1,1,1,1,0]"
Ý thức kém quá mấy má ơi.,"[1,1,1,1,1,1,1,1,1,0]"
Ý thức kém quá,"[1,1,1,1,1,0]"
Ý thức kém làm xấu hình ảnh phụ nữ VN,"[1,1,1,1,1,1,1,1,1,1,1,0]"
Ý thức kém lại nghĩ m hay ho,"[1,1,1,1,0,0,0,0,0,0]"
Ý thức kém cứ 7 củ 5 vừa đóng góp ngân sách vừa cải tạo đc ý thức,"[1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức kém cũng vừa vừa phải phải thôi,"[0,0,0,0,0,0,0,0,0,0,0]"
Ý thức kém chứ hay ho gì,"[1,1,1,1,1,1,1,1,0]"
Ý thức kém ạ,"[1,1,1,1,0,0]"
Ý thức kém ….,"[0,0,0,0,0,0,0]"
Ý thức kém ! Nói thiếu văn hoá lại tự ái,"[1,1,1,1,1,1,1,1,1,1,1,1,0]"
"Ý thức kém ,bốc đồng","[0,0,0,0,0,0,0,0]"
"Ý thức kém , nhận thức tồi 🤣🤣🤣","[1,1,1,1,0,1,1,1,0,0,0,0]"
Ý thức kém,"[1,1,1,1,0]"
Ý thức k bằng con ruồi. Làm xấu hình ảnh trong mắt bạn bè quốc tế,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức j đây,"[0,0,0,0,0,0]"
Ý thức gì kì vậy trời 🔥,"[1,1,1,1,1,1,1,1,0]"
ý thức để quên ở nhà🤨,"[0,0,0,0,0,0,0,0,0]"
Ý thức để ở đầu gối,"[0,0,0,0,0,0,0,0]"
"Ý thức để đâu v tr,, xấu hổ dùm","[1,1,1,1,1,1,1,1,1,1,1,1,0]"
Ý thức để đâu rồi không biết!,"[0,0,0,0,0,0,0,0,0,0,0]"
Ý thức để dưới háng hết rồi,"[1,1,1,1,1,1,0,0,0]"
ý thức để dưới háng hết rồi,"[1,1,1,1,1,1,0,0,0]"
Ý thức để dưới đít à,"[1,1,1,1,1,1,0,0]"
Ý thức đầy người luôn. Đúng là dành cả đời để lên phốt 1 lần.,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức đâu? Văn minh đâu?,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức dính ở mép… từ lúc mới đẻ ra:)),"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức của nó thấp hơn điểm hóa của em.....😌😌😌,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
ý thức của chị Nhung còn thua điểm lí của em,"[1,1,1,1,1,1,1,1,1,1,0,0,0]"
Ý thức của chị Nhung còn ít hơn cả nhân bánh mì của t :)),"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]"
Ý thức của chị còn thấp hơn cả điểm hoá của em 🙂,"[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0]"
Ý thức của bộ não nằm ở dưới mắt cá chân,"[1,1,1,1,1,1,1,1,1,1,1,1,0]"
Ý thức con Ruồi,"[1,1,1,1,1,0]"
Ý thức còn kém hơn điểm toán của tao,"[1,1,1,1,1,1,1,1,0,1,0]"
Ý thức còn ít hơn kiến thức hoá của tao,"[1,1,1,1,1,1,1,1,1,0,1,0]"
Ý thức còn ít hơn cả số tiền trong túi t,"[1,1,1,1,1,1,1,1,1,1,1,1,0]"
Ý thức con 🐷,"[1,1,1,1,1,0]"
Ý thức chán vkl đúng là mấy con nứng chắc đến ngày động dục quá !,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ý thức chán quá , Yêu thích cũng phải kiềm chế chứ .","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0]"
Ý thức bỏ quên ở nhà rồi.,"[0,0,0,0,0,0,0,0,0,0,0]"
Ý thức bỏ quên,"[0,0,0,0,0,0]"
"Ý thức bị rớt lại trong bụng mẹ rồi,chắc nghĩ vậy là hay là giỏi","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý thức 🤔🤔🤔,"[1,1,1,1,1,1,0]"
Ý thức,"[0,0,0,0]"
ý thúc k bằng đứa trẻ con,"[0,0,0,0,0,0,0,0,0]"
"Ỷ quyền thế mà làm mất mạng hai cha con,, , cái đó chưa đáng đâu còn hai thằng đầu trên nữa","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Ỷ nó giàu lấy tiền mua mạng người của ngta, nhưng trời có mắt nó phải trả giá rất đắt do việc làm của nó gây lên, nhà ngta 2 mạng nó bị vậy thì còn chưa đủ🤙🤙🤙","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
ỷ nó giàu lấy tiền mua mạng người của ngta nhưng trời có mắt nó phải trả giá rất đắt do việc làm của nó gây lên nhà ngta numbr mạng nó bị vậy thì còn chưa đủ,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Y như trong phim kẻ ác lúc nào cũng sống lâu.haiz,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Y như mấy bà điên, tới xem diễu binh thì ngồi trật tự mà xem,","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Y như con khùng,"[1,1,1,1,1,0]"
Y như 1 con điên,"[1,1,1,1,1,1,0]"
Ý nhìn giống chị e á Dĩm ơi 🤣🤣🤣🤣,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ỷ mình là con ông  cháu cha rồi xem mạng người như cỏ rác vậy ? Bao che cho nhau hết,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Y mình có tiền muốn một tay che trời bắt hết mấy ông cA mà ăn tiền hối lộ rồi mới dc bình yên,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0]"
"Ỷ lại có tiền bạc,cậy này nọ...dồn ép người ta tới đường cùng.Tai nạn thì ai muốn sai đúng gì chưa bàn tới quan trọng sống phải có chữ tình,quan tâm xoa dịu nỗi đau gia đình người đã mất một cách chân tình có phải tốt hơn không.","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là trời ko cho nó chet dễ dàng như thế đc. Phải cho nó vào tò thôi,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là trên ảnh mặc áo đoàn vẫn đeo khăn quàng đc,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ý là thời tiết nóng quá nên bị n úng l òn đúng hem,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Ý là thiếu trai lắm hay gì:))  Nốn lừng lắm hả 😃,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
